Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,BR,2025,0.059856
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,BR,2030,0.10516
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,BR,2035,0.148736
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,BR,2040,0.191344
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,BR,2045,0.253311
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,BR,2050,0.335101
Energy supply and use,Renewable power area by type,Wind,Offshore,Electricity generation (public service),NA,NA,Mha,BR,2025,4e-05
Energy supply and use,Renewable power area by type,Wind,Offshore,Electricity generation (public service),NA,NA,Mha,BR,2030,4e-05
Energy supply and use,Renewable power area by type,Wind,Offshore,Electricity generation (public service),NA,NA,Mha,BR,2035,4e-05
Energy supply and use,Renewable power area by type,Wind,Offshore,Electricity generation (public service),NA,NA,Mha,BR,2040,4.1e-05
Energy supply and use,Renewable power area by type,Wind,Offshore,Electricity generation (public service),NA,NA,Mha,BR,2045,1.3e-05
Energy supply and use,Renewable power area by type,Wind,Offshore,Electricity generation (public service),NA,NA,Mha,BR,2050,0.000121
Energy supply and use,Renewable power area by type,Wind,Onshore,Electricity generation (public service),NA,NA,Mha,BR,2025,0.733784
Energy supply and use,Renewable power area by type,Wind,Onshore,Electricity generation (public service),NA,NA,Mha,BR,2030,0.922799
Energy supply and use,Renewable power area by type,Wind,Onshore,Electricity generation (public service),NA,NA,Mha,BR,2035,1.322338
Energy supply and use,Renewable power area by type,Wind,Onshore,Electricity generation (public service),NA,NA,Mha,BR,2040,1.385281
Energy supply and use,Renewable power area by type,Wind,Onshore,Electricity generation (public service),NA,NA,Mha,BR,2045,1.789463
Energy supply and use,Renewable power area by type,Wind,Onshore,Electricity generation (public service),NA,NA,Mha,BR,2050,2.120321
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,AC,2025,3.1e-05
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,AC,2030,0.002552
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,AC,2035,0.005125
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,AC,2040,0.005956
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,AC,2045,0.006926
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,AC,2050,0.007301
Energy supply and use,Renewable power area by type,Solar photovoltaic,Utility-scale,Electricity generation (public service),NA,NA,Mha,AL,2025,1.4e-05
