Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,Capex,CAPEX,NA,NA,NA,NA,US$,BR,2025,25929726355.75775
Energy supply and use,Capex,CAPEX,NA,NA,NA,NA,US$,BR,2030,35224157033.00887
Energy supply and use,Capex,CAPEX,NA,NA,NA,NA,US$,BR,2035,82945603819.10121
Energy supply and use,Capex,CAPEX,NA,NA,NA,NA,US$,BR,2040,72013011433.22607
Energy supply and use,Capex,CAPEX,NA,NA,NA,NA,US$,BR,2045,94028096341.85226
Energy supply and use,Capex,CAPEX,NA,NA,NA,NA,US$,BR,2050,113258340792.4229
Energy supply and use,Capex,Total Investment Cost,NA,NA,NA,NA,US$,BR,2025,423398935775.3691
