Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,Energy supply investments,Direct air capture,NA,NA,NA,NA,US$,BR,2045,2857736.55118
Energy supply and use,Energy supply investments,Direct air capture,NA,NA,NA,NA,US$,BR,2050,12111572.40072
Energy supply and use,Energy supply investments,Electricity transmission,NA,NA,NA,NA,US$,BR,2025,30112465425.582
Energy supply and use,Energy supply investments,Electricity transmission,NA,NA,NA,NA,US$,BR,2030,5209155399.35153
Energy supply and use,Energy supply investments,Electricity transmission,NA,NA,NA,NA,US$,BR,2035,8728906051.70182
Energy supply and use,Energy supply investments,Electricity transmission,NA,NA,NA,NA,US$,BR,2040,1220972686.10316
Energy supply and use,Energy supply investments,Electricity transmission,NA,NA,NA,NA,US$,BR,2045,2364956909.10463
Energy supply and use,Energy supply investments,Electricity transmission,NA,NA,NA,NA,US$,BR,2050,1125997946.4277
Energy supply and use,Energy supply investments,Ethanol,NA,NA,NA,NA,US$,BR,2025,165721460.82121
Energy supply and use,Energy supply investments,Ethanol,NA,NA,NA,NA,US$,BR,2030,909066.07589
Energy supply and use,Energy supply investments,Ethanol,NA,NA,NA,NA,US$,BR,2035,9678238667.05982
Energy supply and use,Energy supply investments,Ethanol,NA,NA,NA,NA,US$,BR,2040,7332771802.76572
Energy supply and use,Energy supply investments,Ethanol,NA,NA,NA,NA,US$,BR,2045,6056376948.14315
Energy supply and use,Energy supply investments,Ethanol,NA,NA,NA,NA,US$,BR,2050,5242974388.38332
Energy supply and use,Energy supply investments,HEFA,NA,NA,NA,NA,US$,BR,2025,0.0
Energy supply and use,Energy supply investments,HEFA,NA,NA,NA,NA,US$,BR,2030,1923129.05375
Energy supply and use,Energy supply investments,HEFA,NA,NA,NA,NA,US$,BR,2035,1097324.72503
Energy supply and use,Energy supply investments,HEFA,NA,NA,NA,NA,US$,BR,2040,654639.72408
Energy supply and use,Energy supply investments,HEFA,NA,NA,NA,NA,US$,BR,2045,231763.89976
Energy supply and use,Energy supply investments,HEFA,NA,NA,NA,NA,US$,BR,2050,14764201.60975
Energy supply and use,Energy supply investments,Hydrogen (biomass gasification),NA,NA,NA,NA,US$,BR,2025,140468330.92414
Energy supply and use,Energy supply investments,Hydrogen (biomass gasification),NA,NA,NA,NA,US$,BR,2030,225842.38387
Energy supply and use,Energy supply investments,Hydrogen (biomass gasification),NA,NA,NA,NA,US$,BR,2035,1050336.64117
Energy supply and use,Energy supply investments,Hydrogen (biomass gasification),NA,NA,NA,NA,US$,BR,2040,1085190.98908
Energy supply and use,Energy supply investments,Hydrogen (biomass gasification),NA,NA,NA,NA,US$,BR,2045,4395485.0687
Energy supply and use,Energy supply investments,Hydrogen (biomass gasification),NA,NA,NA,NA,US$,BR,2050,657620808.63678
Energy supply and use,Energy supply investments,Hydrogen (electrolysis),NA,NA,NA,NA,US$,BR,2025,209802775.52885
Energy supply and use,Energy supply investments,Hydrogen (electrolysis),NA,NA,NA,NA,US$,BR,2030,330846.86847
Energy supply and use,Energy supply investments,Hydrogen (electrolysis),NA,NA,NA,NA,US$,BR,2035,27668677.54622
Energy supply and use,Energy supply investments,Hydrogen (electrolysis),NA,NA,NA,NA,US$,BR,2040,1951760.76887
Energy supply and use,Energy supply investments,Hydrogen (electrolysis),NA,NA,NA,NA,US$,BR,2045,19695965.52157
Energy supply and use,Energy supply investments,Hydrogen (electrolysis),NA,NA,NA,NA,US$,BR,2050,25160150.05846
Energy supply and use,Energy supply investments,Hydrogen (steam methane reforming with CCS),NA,NA,NA,NA,US$,BR,2025,93256769.21537
