Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,Oil production,NA,NA,NA,NA,NA,boe,BR,2025,1373384070.50669
Energy supply and use,Oil production,NA,NA,NA,NA,NA,boe,BR,2030,837241409.87983
Energy supply and use,Oil production,NA,NA,NA,NA,NA,boe,BR,2035,827879044.96202
Energy supply and use,Oil production,NA,NA,NA,NA,NA,boe,BR,2040,861442546.14648
Energy supply and use,Oil production,NA,NA,NA,NA,NA,boe,BR,2045,884111180.84765
Energy supply and use,Oil production,NA,NA,NA,NA,NA,boe,BR,2050,901756581.86173
