Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Underground carbon storage,CO2 transport,Energy,Carbon storage,Paraná,N/A,Pipeline,km,SP,2045,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Paraná,N/A,Pipeline,km,SP,2050,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AC,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AC,2030,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AC,2035,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AC,2040,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AC,2045,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AC,2050,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AM,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AM,2030,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AM,2035,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AM,2040,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AM,2045,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AM,2050,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AP,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AP,2030,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AP,2035,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AP,2040,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AP,2045,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,AP,2050,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,MT,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,MT,2030,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,MT,2035,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,MT,2040,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,MT,2045,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,MT,2050,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,PA,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,PA,2030,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,PA,2035,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,PA,2040,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,PA,2045,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,PA,2050,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,RO,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,RO,2030,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,RO,2035,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,RO,2040,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,RO,2045,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,RO,2050,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,RR,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,RR,2030,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,RR,2035,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,RR,2040,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,RR,2045,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,RR,2050,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,TO,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,TO,2030,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,TO,2035,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,TO,2040,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,TO,2045,900.0
