Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Jequitinhonha,NA,GW,BR,2050,0.399
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paranapanema,NA,GW,BR,2025,1.51896
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paranapanema,NA,GW,BR,2030,1.51896
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paranapanema,NA,GW,BR,2035,1.51896
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paranapanema,NA,GW,BR,2040,1.51896
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paranapanema,NA,GW,BR,2045,1.51896
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paranapanema,NA,GW,BR,2050,1.51896
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paranaíba,NA,GW,BR,2025,7.10473
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paranaíba,NA,GW,BR,2030,7.10473
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paranaíba,NA,GW,BR,2035,7.10473
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paranaíba,NA,GW,BR,2040,7.10473
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paranaíba,NA,GW,BR,2045,7.10473
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paranaíba,NA,GW,BR,2050,7.10473
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paraná,NA,GW,BR,2025,3.444
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paraná,NA,GW,BR,2030,3.444
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paraná,NA,GW,BR,2035,3.444
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paraná,NA,GW,BR,2040,3.444
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paraná,NA,GW,BR,2045,3.444
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paraná,NA,GW,BR,2050,3.444
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paraíba do Sul,NA,GW,BR,2025,0.56667
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paraíba do Sul,NA,GW,BR,2030,0.56667
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paraíba do Sul,NA,GW,BR,2035,0.56667
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paraíba do Sul,NA,GW,BR,2040,0.56667
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paraíba do Sul,NA,GW,BR,2045,0.56667
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Paraíba do Sul,NA,GW,BR,2050,0.56667
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Parnaíba,NA,GW,BR,2025,0.2373
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Parnaíba,NA,GW,BR,2030,0.2373
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Parnaíba,NA,GW,BR,2035,0.2373
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Parnaíba,NA,GW,BR,2040,0.2373
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Parnaíba,NA,GW,BR,2045,0.2373
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Parnaíba,NA,GW,BR,2050,0.2373
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),São Francisco,NA,GW,BR,2025,3.11456
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),São Francisco,NA,GW,BR,2030,3.11456
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),São Francisco,NA,GW,BR,2035,3.11456
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),São Francisco,NA,GW,BR,2040,3.11456
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),São Francisco,NA,GW,BR,2045,3.11456
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),São Francisco,NA,GW,BR,2050,3.11456
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Tietê,NA,GW,BR,2025,1.21226
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Tietê,NA,GW,BR,2030,1.21226
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Tietê,NA,GW,BR,2035,1.21226
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Tietê,NA,GW,BR,2040,1.21226
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Tietê,NA,GW,BR,2045,1.21226
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Tietê,NA,GW,BR,2050,1.21226
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Tocantins,NA,GW,BR,2025,10.30875
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Tocantins,NA,GW,BR,2030,10.30875
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Tocantins,NA,GW,BR,2035,10.30875
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Tocantins,NA,GW,BR,2040,10.30875
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Tocantins,NA,GW,BR,2045,10.30875
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Tocantins,NA,GW,BR,2050,10.30875
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Uruguai,NA,GW,BR,2025,3.2479
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Uruguai,NA,GW,BR,2030,3.2479
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Uruguai,NA,GW,BR,2035,3.2479
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Uruguai,NA,GW,BR,2040,3.2479
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Uruguai,NA,GW,BR,2045,3.2479
Energy supply and use,Power installed capacity,Hydropower,Reservoir,Electricity generation (public service),Uruguai,NA,GW,BR,2050,3.2479
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Amazonas,NA,GW,BR,2025,22.69385
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Amazonas,NA,GW,BR,2030,22.69385
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Amazonas,NA,GW,BR,2035,22.69385
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Amazonas,NA,GW,BR,2040,22.69385
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Amazonas,NA,GW,BR,2045,22.69385
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Amazonas,NA,GW,BR,2050,22.69385
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Doce,NA,GW,BR,2025,1.604
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Doce,NA,GW,BR,2030,1.604
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Doce,NA,GW,BR,2035,1.604
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Doce,NA,GW,BR,2040,1.604
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Doce,NA,GW,BR,2045,1.604
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Doce,NA,GW,BR,2050,1.604
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Grande,NA,GW,BR,2025,2.5768
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Grande,NA,GW,BR,2030,2.5768
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Grande,NA,GW,BR,2035,2.5768
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Grande,NA,GW,BR,2040,2.5768
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Grande,NA,GW,BR,2045,2.5768
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Grande,NA,GW,BR,2050,2.5768
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Iguaçu,NA,GW,BR,2025,2.78837
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Iguaçu,NA,GW,BR,2030,2.78837
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Iguaçu,NA,GW,BR,2035,2.78837
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Iguaçu,NA,GW,BR,2040,2.78837
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Iguaçu,NA,GW,BR,2045,2.78837
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Iguaçu,NA,GW,BR,2050,2.78837
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Jacuí-Capivari,NA,GW,BR,2025,1.1654
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Jacuí-Capivari,NA,GW,BR,2030,1.1654
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Jacuí-Capivari,NA,GW,BR,2035,1.1654
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Jacuí-Capivari,NA,GW,BR,2040,1.1654
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Jacuí-Capivari,NA,GW,BR,2045,1.1654
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Jacuí-Capivari,NA,GW,BR,2050,1.1654
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Jequitinhonha,NA,GW,BR,2025,0.46201
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Jequitinhonha,NA,GW,BR,2030,0.46201
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Jequitinhonha,NA,GW,BR,2035,0.46201
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Jequitinhonha,NA,GW,BR,2040,0.46201
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Jequitinhonha,NA,GW,BR,2045,0.46201
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Jequitinhonha,NA,GW,BR,2050,0.46201
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paranapanema,NA,GW,BR,2025,1.2213
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paranapanema,NA,GW,BR,2030,1.2213
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paranapanema,NA,GW,BR,2035,1.2213
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paranapanema,NA,GW,BR,2040,1.2213
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paranapanema,NA,GW,BR,2045,1.2213
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paranapanema,NA,GW,BR,2050,1.2213
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paranaíba,NA,GW,BR,2025,1.2354
